Word,Frequency,Total Impressions,Total Clicks,Total ff_purchases,Total Cost,Total ff_leads,Total ff_BRSubmit,Total ff_DMSubmit,Total ff_PhoneGet,Total Cost Per Click,Total Cost Per ff_purchases,Total ff_purchases_lead Rate,Total ff_purchases Rate,Total ff_leads_BRSubmit_rate,Total Click Thru Rate
grumman,1,3,1,0.0,1.83,0.0,0.0,0.0,0.0,1.83,0,0,0.0,0,0.33
nosara,2,12,6,0.0,5.33,0.0,0.0,0.0,0.0,0.89,0,0,0.0,0,0.5
day,61,1552,537,0.0,625.6499999999996,42.0,2.0,0.0,3.38,1.17,0,0.0,0.0,21.0,0.35
hiring,4,1159,502,0.0,440.05,37.0,0.0,0.0,0.0,0.88,0,0.0,0.0,0,0.43
caregiver,3,1157,501,0.0,436.0,37.0,0.0,0.0,0.0,0.87,0,0.0,0.0,0,0.43
nujib,1,24,4,0.0,44.34,1.0,0.0,0.0,0.0,11.09,0,0.0,0.0,0,0.17
bnb,20,360,51,0.0,163.86,5.46,0.0,0.0,0.93,3.21,0,0.0,0.0,0,0.14
companion,1,14,3,0.0,9.36,0.0,0.0,0.0,0.0,3.12,0,0,0.0,0,0.21
ny,28,84,38,0.0,58.36,4.0,1.0,2.23,1.56,1.54,0,0.0,0.0,4.0,0.45
newspaper,1,2,1,0.0,3.22,0.0,0.0,0.0,0.0,3.22,0,0,0.0,0,0.5
nextdoor,1,9,1,0.0,1.07,0.0,0.0,0.0,0.0,1.07,0,0,0.0,0,0.11
nh,22,245,56,0.0,77.17,1.0,4.0,2.0,9.0,1.38,0,0.0,0.0,0.25,0.23
nicaragua,6,13,6,0.0,5.64,0.0,0.0,0.0,0.0,0.94,0,0,0.0,0,0.46
shift,3,490,173,0.0,143.09,5.0,0.0,0.0,0.0,0.83,0,0.0,0.0,0,0.35
nightly,7,31,11,0.0,22.419999999999998,0.0,0.0,0.0,0.0,2.04,0,0,0.0,0,0.35
newly,2,18,8,0.0,6.3100000000000005,0.0,0.0,0.0,0.0,0.79,0,0,0.0,0,0.44
built,1,12,7,0.0,5.11,0.0,0.0,0.0,0.0,0.73,0,0,0.0,0,0.58
payment,16,187,113,0.0,137.32999999999998,9.0,0.0,0.0,0.0,1.22,0,0.0,0.0,0,0.6
down,10,161,104,0.0,142.75,9.0,0.0,0.0,0.0,1.37,0,0.0,0.0,0,0.65
fee,32,469,117,0.0,208.72999999999993,8.0,2.0,0.0,0.0,1.78,0,0.0,0.0,4.0,0.25
nika,1,1,1,0.0,2.45,0.0,0.0,0.0,0.0,2.45,0,0,0.0,0,1.0
nj,85,810,250,0.0,404.54000000000013,5.0,4.07,5.05,24.26,1.62,0,0.0,0.0,1.23,0.31
nl,4,15,6,0.0,11.59,0.0,0.0,0.0,0.0,1.93,0,0,0.0,0,0.4
contract,49,8602,1035,0.0,5059.65,30.81,1.3,0.0,0.0,4.89,0,0.0,0.0,23.7,0.12
recruitment,8,523,596,0.0,130.79,0.0,0.0,0.0,0.0,0.22,0,0,0.0,0,1.14
minnesota,16,311,76,0.0,163.79000000000002,0.0,2.0,6.0,16.0,2.16,0,0,0.0,0.0,0.24
kansa,1,4,1,0.0,1.09,0.0,0.0,0.0,0.0,1.09,0,0,0.0,0,0.25
kentucky,8,51,20,0.0,26.89,1.0,0.0,0.0,0.0,1.34,0,0.0,0.0,0,0.39
manitoba,3,104,17,0.0,6.99,0.0,0.0,0.0,0.0,0.41,0,0,0.0,0,0.16
montana,17,137,46,0.0,48.22,0.0,1.58,11.0,4.0,1.05,0,0,0.0,0.0,0.34
nebraska,1,3,1,0.0,1.17,0.0,0.0,0.0,0.0,1.17,0,0,0.0,0,0.33
burnaby,11,46,15,0.0,23.65,0.0,0.0,0.0,0.0,1.58,0,0,0.0,0,0.33
alabama,13,224,55,0.0,69.92999999999999,4.0,1.0,0.0,0.0,1.27,0,0.0,0.0,4.0,0.25
alaska,22,184,42,0.0,87.86,0.0,1.0,0.0,0.0,2.09,0,0,0.0,0.0,0.23
alberta,20,377,47,0.0,93.12,1.0,0.0,0.0,0.0,1.98,0,0.0,0.0,0,0.12
dialysis,3,97,3,0.0,9.81,0.0,0.0,0.0,0.0,3.27,0,0,0.0,0,0.03
onsite,1,78,1,0.0,3.32,0.0,0.0,0.0,0.0,3.32,0,0,0.0,0,0.01
relocation,10,261,39,0.0,152.12,1.0,3.0,0.26,5.0,3.9,0,0.0,0.0,0.33,0.15
smoking,3,55,4,0.0,5.529999999999999,0.0,0.0,0.0,0.0,1.38,0,0,0.0,0,0.07
allow,12,128,21,0.0,64.21000000000001,0.0,0.0,0.0,0.0,3.06,0,0,0.0,0,0.16
nusing,1,1,1,0.0,1.57,0.0,0.0,0.0,0.0,1.57,0,0,0.0,0,1.0
habitat,3,13,9,0.0,25.479999999999997,0.0,0.0,0.0,0.0,2.83,0,0,0.0,0,0.69
felon,1,1,1,0.0,3.56,0.0,0.0,0.0,0.0,3.56,0,0,0.0,0,1.0
saskatchewan,9,174,36,0.0,32.81,0.0,0.0,0.0,0.0,0.91,0,0,0.0,0,0.21
veteran,7,14,8,0.0,23.05,0.0,0.0,0.0,0.0,2.88,0,0,0.0,0,0.57
poor,1,3,1,0.0,4.67,0.0,0.0,0.0,0.0,4.67,0,0,0.0,0,0.33
scheme,1,1,1,0.0,11.17,0.0,0.0,0.0,0.0,11.17,0,0,0.0,0,1.0
nursehousing,1,63,22,0.0,119.89,2.0,0.35,4.01,3.01,5.45,0,0.0,0.0,5.71,0.35
come,7,54,13,0.0,20.34,0.0,0.0,0.0,0.0,1.56,0,0,0.0,0,0.24
nursefly,1,4,2,0.0,4.41,0.0,0.0,0.0,0.0,2.21,0,0,0.0,0,0.5
str,1,4,1,0.0,5.14,0.0,0.0,0.0,0.0,5.14,0,0,0.0,0,0.25
traveller,4,5,6,0.0,33.019999999999996,0.0,0.0,0.0,0.0,5.5,0,0,0.0,0,1.2
adult,6,29,7,0.0,34.9,0.0,0.0,0.0,0.0,4.99,0,0,0.0,0,0.24
young,2,20,3,0.0,17.439999999999998,0.0,0.0,0.0,0.0,5.81,0,0,0.0,0,0.15
