Word,Frequency,Total Impressions,Total Clicks,Total ff_purchases,Total Cost,Total ff_leads,Total ff_BRSubmit,Total ff_DMSubmit,Total ff_PhoneGet,Total Cost Per Click,Total Cost Per ff_purchases,Total ff_purchases_lead Rate,Total ff_purchases Rate,Total ff_leads_BRSubmit_rate,Total Click Thru Rate
trader,1,12,2,0.0,16.9,0.0,0.0,0.0,0.0,8.45,0,0,0.0,0,0.17
turbotenant,8,188,49,0.0,205.53,1.0,0.0,0.0,0.0,4.19,0,0.0,0.0,0,0.26
value,28,245,37,0.0,177.69000000000003,0.0,0.0,0.0,0.0,4.8,0,0,0.0,0,0.15
estimate,43,3685,292,0.0,1136.0,7.0,10.0,0.0,0.0,3.89,0,0.0,0.0,0.7,0.08
estimator,7,72,8,0.0,36.010000000000005,0.0,0.0,0.0,0.0,4.5,0,0,0.0,0,0.11
ownership,1,1,1,0.0,2.55,0.0,0.0,0.0,0.0,2.55,0,0,0.0,0,1.0
marthas,12,44,21,0.0,19.38,1.0,0.0,0.0,0.0,0.92,0,0.0,0.0,0,0.48
vineyard,12,44,21,0.0,19.38,1.0,0.0,0.0,0.0,0.92,0,0.0,0.0,0,0.48
united,5,599,24,0.0,48.11,1.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0,0.04
wanted,16,144,25,0.0,44.879999999999995,3.0,0.0,0.0,0.0,1.8,0,0.0,0.0,0,0.17
sarnia,12,548,20,0.0,22.389999999999997,0.0,0.0,0.0,0.0,1.12,0,0,0.0,0,0.04
puerto,49,832,196,0.0,204.33999999999997,0.0,0.0,0.0,0.0,1.04,0,0,0.0,0,0.24
vallarta,41,754,173,0.0,182.34999999999997,0.0,0.0,0.0,0.0,1.05,0,0,0.0,0,0.23
greece,18,47,25,0.0,26.68,1.0,0.47,0.0,0.0,1.07,0,0.0,0.0,2.13,0.53
hua,7,26,11,0.0,10.31,0.0,0.0,0.0,0.0,0.94,0,0,0.0,0,0.42
thailand,19,78,33,0.0,36.489999999999995,0.0,0.0,0.0,0.0,1.11,0,0,0.0,0,0.42
hin,7,26,11,0.0,10.31,0.0,0.0,0.0,0.0,0.94,0,0,0.0,0,0.42
boquete,6,46,16,0.0,16.69,0.0,0.0,0.0,0.0,1.04,0,0,0.0,0,0.35
chincoteague,3,9,4,0.0,3.37,0.0,0.0,0.0,0.0,0.84,0,0,0.0,0,0.44
edmonton,30,337,57,0.0,79.73,0.0,0.0,0.0,0.0,1.4,0,0,0.0,0,0.17
colborne,1,4,1,0.0,0.95,0.0,0.0,0.0,0.0,0.95,0,0,0.0,0,0.25
advertisement,5,28,5,0.0,63.17,0.0,0.0,0.0,0.0,12.63,0,0,0.0,0,0.18
por,38,266,80,0.0,144.19,4.0,0.0,0.0,0.0,1.8,0,0.0,0.0,0,0.3
amueblada,3,4,4,0.0,5.52,0.0,0.0,0.0,0.0,1.38,0,0,0.0,0,1.0
amuebladas,7,21,13,0.0,17.03,0.0,0.0,0.0,0.0,1.31,0,0,0.0,0,0.62
dueño,15,194,40,0.0,77.04,2.0,0.0,0.0,0.0,1.93,0,0.0,0.0,0,0.21
rosarito,6,57,13,0.0,11.41,0.0,0.0,0.0,0.0,0.88,0,0,0.0,0,0.23
baratas,1,1,1,0.0,1.36,0.0,0.0,0.0,0.0,1.36,0,0,0.0,0,1.0
en,75,452,140,0.0,261.30999999999995,1.0,1.0,0.0,1.0,1.87,0,0.0,0.0,1.0,0.31
guadalajara,3,3,4,0.0,4.99,0.0,0.0,0.0,0.0,1.25,0,0,0.0,0,1.33
amueblado,4,13,5,0.0,7.09,0.0,0.0,0.0,0.0,1.42,0,0,0.0,0,0.38
departamento,6,16,7,0.0,14.73,0.0,0.0,0.0,0.0,2.1,0,0,0.0,0,0.44
departamentos,23,55,38,0.0,78.42999999999999,0.0,1.0,0.0,1.0,2.06,0,0,0.0,0.0,0.69
juarez,2,2,2,0.0,3.5,0.0,0.0,0.0,0.0,1.75,0,0,0.0,0,1.0
baratos,4,11,4,0.0,7.1,1.0,0.0,0.0,0.0,1.77,0,0.0,0.0,0,0.36
querétaro,2,3,2,0.0,5.92,0.0,0.0,0.0,0.0,2.96,0,0,0.0,0,0.67
monterrey,1,3,1,0.0,1.77,0.0,0.0,0.0,0.0,1.77,0,0,0.0,0,0.33
temporal,2,10,3,0.0,4.18,0.0,0.0,0.0,0.0,1.39,0,0,0.0,0,0.3
assessment,1,12,1,0.0,7.67,0.0,0.0,0.0,0.0,7.67,0,0,0.0,0,0.08
assisted,31,600,117,0.0,280.88999999999993,1.0,0.0,0.0,0.0,2.4,0,0.0,0.0,0,0.2
beast,1,5,1,0.0,4.58,0.0,0.0,0.0,0.0,4.58,0,0,0.0,0,0.2
address,8,716,51,0.0,243.89,0.0,0.0,0.0,0.0,4.78,0,0,0.0,0,0.07
arbitrage,3,94,6,0.0,8.31,0.0,0.0,0.0,0.0,1.39,0,0,0.0,0,0.06
form,1,27,6,0.0,5.86,0.0,0.0,0.0,0.0,0.98,0,0,0.0,0,0.22
metepec,1,1,1,0.0,1.8,0.0,0.0,0.0,0.0,1.8,0,0,0.0,0,1.0
without,11,86,16,0.0,57.96000000000001,2.0,0.0,0.0,0.0,3.62,0,0.0,0.0,0,0.19
registration,5,27,9,0.0,35.97,1.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0,0.33
trailer,2,58,8,0.0,7.9799999999999995,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.14
corto,1,3,1,0.0,1.22,0.0,0.0,0.0,0.0,1.22,0,0,0.0,0,0.33
plazo,1,3,1,0.0,1.22,0.0,0.0,0.0,0.0,1.22,0,0,0.0,0,0.33
low,75,1316,506,0.0,697.8699999999999,19.0,0.0,1.0,1.0,1.38,0,0.0,0.0,0,0.38
up,11,133,43,0.0,202.5,2.0,0.0,0.0,0.0,4.71,0,0.0,0.0,0,0.32
sign,4,50,28,0.0,39.690000000000005,0.0,0.0,0.0,0.0,1.42,0,0,0.0,0,0.56
income,58,1300,513,0.0,652.5100000000001,21.0,0.0,1.0,1.0,1.27,0,0.0,0.0,0,0.39
istanbul,17,99,35,0.0,39.42,0.0,0.0,0.0,0.0,1.13,0,0,0.0,0,0.35
villa,11,23,13,0.0,12.099999999999998,0.0,0.0,0.0,0.0,0.93,0,0,0.0,0,0.57
sell,4,6,5,0.0,5.95,1.0,0.0,0.0,0.0,1.19,0,0.0,0.0,0,0.83
v,9,34,10,0.0,29.68,0.0,0.0,0.0,0.0,2.97,0,0,0.0,0,0.29
privately,16,484,109,0.0,140.09,6.0,0.0,0.0,0.0,1.29,0,0.0,0.0,0,0.23
section,23,1115,67,0.0,111.24,11.0,0.0,0.0,0.0,1.66,0,0.0,0.0,0,0.06
8,26,1830,117,0.0,341.30999999999995,12.0,0.3,0.0,0.0,2.92,0,0.0,0.0,40.0,0.06
government,5,27,5,0.0,23.04,1.0,0.0,0.0,0.0,4.61,0,0.0,0.0,0,0.19
14,1,41,1,0.0,8.11,0.0,0.0,0.0,0.0,8.11,0,0,0.0,0,0.02
rent20wn,1,4,1,0.0,2.32,0.0,0.0,0.0,0.0,2.32,0,0,0.0,0,0.25
rent2own,1,11,1,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0,0,0.0,0,0.09
backyard,4,48,4,0.0,6.66,0.0,0.0,0.0,0.0,1.67,0,0,0.0,0,0.08
basement,26,320,74,0.0,127.83999999999999,4.0,0.0,0.0,1.0,1.73,0,0.0,0.0,0,0.23
insurance,8,151,14,0.0,42.34,0.0,0.0,0.0,2.0,3.02,0,0,0.0,0,0.09
tax,1,1,1,0.0,2.92,0.0,0.0,0.0,0.0,2.92,0,0,0.0,0,1.0
daily,17,78,25,0.0,53.07999999999999,0.0,3.0,6.0,20.0,2.12,0,0,0.0,0.0,0.32
searching,4,5,4,0.0,6.32,1.0,0.0,0.0,0.0,1.58,0,0.0,0.0,0,0.8
meter,1,14,2,0.0,2.34,0.0,0.0,0.0,0.0,1.17,0,0,0.0,0,0.14
ml,10,364,11,0.0,41.50999999999999,3.0,0.0,0.0,0.0,3.77,0,0.0,0.0,0,0.03
mackinac,2,8,4,0.0,6.35,0.0,0.0,0.0,0.0,1.59,0,0,0.0,0,0.5
u,3,202,34,0.0,19.75,1.0,0.0,0.0,0.0,0.58,0,0.0,0.0,0,0.17
investment,1,182,32,0.0,18.03,1.0,0.0,0.0,0.0,0.56,0,0.0,0.0,0,0.18
ahmedabad,11,22,14,0.0,16.02,0.0,0.0,0.0,0.0,1.14,0,0,0.0,0,0.64
community,5,72,30,0.0,22.64,0.0,0.0,0.0,0.0,0.75,0,0,0.0,0,0.42
locator,10,135,12,0.0,23.919999999999998,0.0,0.0,0.0,0.0,1.99,0,0,0.0,0,0.09
code,12,348,23,0.0,92.15,1.0,0.0,0.0,0.0,4.01,0,0.0,0.0,0,0.07
zip,11,340,22,0.0,87.41,1.0,0.0,0.0,0.0,3.97,0,0.0,0.0,0,0.06
mohali,3,3,3,0.0,2.79,0.0,0.0,0.0,0.0,0.93,0,0,0.0,0,1.0
elderly,6,31,14,0.0,39.989999999999995,2.0,0.0,0.0,0.0,2.86,0,0.0,0.0,0,0.45
from,55,1569,369,0.0,529.3200000000002,17.0,1.0,0.0,1.0,1.43,0,0.0,0.0,17.0,0.24
aed,3,16,9,0.0,9.68,0.0,0.0,0.0,0.0,1.08,0,0,0.0,0,0.56
abu,20,39,22,0.0,26.900000000000002,0.0,0.0,0.0,0.0,1.22,0,0,0.0,0,0.56
dhabi,20,39,22,0.0,26.900000000000002,0.0,0.0,0.0,0.0,1.22,0,0,0.0,0,0.56
pasay,2,4,2,0.0,2.38,0.0,0.0,0.0,0.0,1.19,0,0,0.0,0,0.5
5k,1,1,1,0.0,0.67,0.0,0.0,0.0,0.0,0.67,0,0,0.0,0,1.0
reykjavik,1,1,1,0.0,0.74,0.0,0.0,0.0,0.0,0.74,0,0,0.0,0,1.0
cat,1,1,1,0.0,1.28,0.0,0.0,0.0,0.0,1.28,0,0,0.0,0,1.0
two,11,1004,256,0.0,209.14999999999998,8.0,0.0,0.0,0.0,0.82,0,0.0,0.0,0,0.25
tonight,2,3,2,0.0,2.66,0.0,0.0,0.0,0.0,1.33,0,0,0.0,0,0.67
300,48,1947,1268,0.0,992.7899999999996,370.5,0.0,2.0,1.0,0.78,0,0.0,0.0,0,0.65
only,7,21,9,0.0,14.459999999999999,1.0,0.0,0.0,0.0,1.61,0,0.0,0.0,0,0.43
kid,4,14,6,0.0,8.06,0.0,0.0,0.0,0.0,1.34,0,0,0.0,0,0.43
niagara,2,2,2,0.0,2.26,0.0,0.0,0.0,0.0,1.13,0,0,0.0,0,1.0
college,7,27,9,0.0,13.23,1.0,0.0,0.0,7.0,1.47,0,0.0,0.0,0,0.33
welland,2,13,4,0.0,3.51,0.0,0.0,0.0,0.0,0.88,0,0,0.0,0,0.31
campus,6,14,6,0.0,8.04,0.0,0.0,0.0,0.0,1.34,0,0,0.0,0,0.43
basis,20,58,31,0.0,37.65,1.0,0.0,0.0,0.0,1.21,0,0.0,0.0,0,0.53
natomas,2,2,2,0.0,4.51,0.0,0.0,0.0,0.0,2.25,0,0,0.0,0,1.0
budapest,5,5,6,0.0,5.6,0.0,0.0,0.0,0.0,0.93,0,0,0.0,0,1.2
golf,2,10,2,0.0,2.54,1.0,0.0,0.0,0.0,1.27,0,0.0,0.0,0,0.2
military,7,32,8,0.0,15.940000000000001,2.0,0.0,0.0,0.0,1.99,0,0.0,0.0,0,0.25
single,49,357,98,0.0,105.73999999999997,10.0,0.0,0.0,0.0,1.08,0,0.0,0.0,0,0.27
support,1,1,1,0.0,1.95,0.0,0.0,0.0,0.0,1.95,0,0,0.0,0,1.0
time,25,134,38,0.0,90.89000000000001,2.0,0.0,0.0,0.0,2.39,0,0.0,0.0,0,0.28
first,23,125,36,0.0,73.99000000000002,3.0,1.0,0.0,1.0,2.06,0,0.0,0.0,3.0,0.29
spare,15,158,25,0.0,77.42,4.0,0.0,0.0,0.0,3.1,0,0.0,0.0,0,0.16
affordable,69,1725,878,0.0,865.98,41.5,18.78,12.0,26.62,0.99,0,0.0,0.0,2.21,0.51
owning,3,9,3,0.0,10.71,1.0,0.0,0.0,0.0,3.57,0,0.0,0.0,0,0.33
africa,1,1,1,0.0,0.74,0.0,0.0,0.0,0.0,0.74,0,0,0.0,0,1.0
fl,40,193,65,0.0,100.06,1.0,1.0,0.0,2.0,1.54,0,0.0,0.0,1.0,0.34
con,3,8,3,0.0,4.539999999999999,0.0,0.0,0.0,0.0,1.51,0,0,0.0,0,0.38
tip,6,43,11,0.0,28.84,0.0,0.0,0.0,0.0,2.62,0,0,0.0,0,0.26
rentfaster,1,3,1,0.0,1.91,0.0,0.0,0.0,0.0,1.91,0,0,0.0,0,0.33
rentfinder,1,204,22,0.0,41.940000000000005,1.0,1.0,1.0,4.0,1.91,0,0.0,0.0,1.0,0.11
rentforme,1,2,1,0.0,3.37,0.0,0.0,0.0,0.0,3.37,0,0,0.0,0,0.5
rentfurnished,1,10,6,0.0,9.54,0.0,0.0,0.0,0.0,1.59,0,0,0.0,0,0.6
hub,3,15,3,0.0,3.91,0.0,0.0,0.0,0.0,1.3,0,0,0.0,0,0.2
rentanurse,1,1,1,0.0,4.18,0.0,0.0,0.0,0.0,4.18,0,0,0.0,0,1.0
corporativas,1,33,1,0.0,2.45,0.0,0.0,0.0,0.0,2.45,0,0,0.0,0,0.03
y,1,33,1,0.0,2.45,0.0,0.0,0.0,0.0,2.45,0,0,0.0,0,0.03
vacacionales,1,33,1,0.0,2.45,0.0,0.0,0.0,0.0,2.45,0,0,0.0,0,0.03
rentas,2,34,2,0.0,4.59,0.0,0.0,0.0,0.0,2.29,0,0,0.0,0,0.06
rentasay,1,10,2,0.0,7.06,0.0,0.0,0.0,0.0,3.53,0,0,0.0,0,0.2
rentboard,1,2,1,0.0,1.15,0.0,0.0,0.0,0.0,1.15,0,0,0.0,0,0.5
rentbyowner,1,23,4,0.0,4.06,0.0,0.0,0.0,0.0,1.01,0,0,0.0,0,0.17
rentcafe,1,127,15,0.0,53.16,0.0,2.0,2.0,3.0,3.54,0,0,0.0,0.0,0.12
abroad,1,2,1,0.0,0.94,0.0,0.0,0.0,0.0,0.94,0,0,0.0,0,0.5
party,14,52,21,0.0,42.01,4.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0,0.4
an,53,573,97,0.0,259.62999999999994,6.0,1.0,0.0,0.0,2.68,0,0.0,0.0,6.0,0.17
directly,6,222,24,0.0,33.89,0.0,0.0,0.0,0.0,1.41,0,0,0.0,0,0.11
europe,8,46,12,0.0,19.21,0.0,0.0,0.0,0.0,1.6,0,0,0.0,0,0.26
are,10,41,15,0.0,38.470000000000006,1.0,0.0,0.0,0.0,2.56,0,0.0,0.0,0,0.37
what,35,478,108,0.0,557.8900000000001,10.0,5.0,0.0,0.0,5.17,0,0.0,0.0,2.0,0.23
mussoorie,1,1,1,0.0,0.72,0.0,0.0,0.0,0.0,0.72,0,0,0.0,0,1.0
pondicherry,1,1,1,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0,0,0.0,0,1.0
roatan,13,91,32,0.0,31.479999999999997,0.0,0.0,0.0,0.0,0.98,0,0,0.0,0,0.35
400,25,194,58,0.0,88.70000000000002,6.0,0.0,0.0,0.0,1.53,0,0.0,0.0,0,0.3
rentlist,2,14,6,0.0,22.630000000000003,0.0,0.0,0.0,0.0,3.77,0,0,0.0,0,0.43
rently,5,325,10,0.0,30.740000000000002,1.0,0.0,0.0,0.0,3.07,0,0.0,0.0,0,0.03
rentmyplace,1,1,1,0.0,7.15,0.0,0.0,0.0,0.0,7.15,0,0,0.0,0,1.0
rentometer,3,173,12,0.0,51.69,0.0,0.0,0.0,0.0,4.31,0,0,0.0,0,0.07
indore,4,4,4,0.0,1.71,0.0,0.0,0.0,0.0,0.43,0,0,0.0,0,1.0
rentomojo,2,6,3,0.0,2.27,0.0,0.0,0.0,0.0,0.76,0,0,0.0,0,0.5
rentpad,2,59,5,0.0,13.959999999999999,0.0,0.0,0.0,0.0,2.79,0,0,0.0,0,0.08
ph,1,1,1,0.0,0.86,0.0,0.0,0.0,0.0,0.86,0,0,0.0,0,1.0
rentrent,1,1,1,0.0,3.56,0.0,0.0,0.0,0.0,3.56,0,0,0.0,0,1.0
rentspree,1,2,1,0.0,2.34,0.0,0.0,0.0,0.0,2.34,0,0,0.0,0,0.5
alquilar,4,4,4,0.0,5.33,0.0,0.0,0.0,0.0,1.33,0,0,0.0,0,1.0
plan,1,1,1,0.0,1.49,0.0,0.0,0.0,0.0,1.49,0,0,0.0,0,1.0
requisitos,1,1,1,0.0,1.49,0.0,0.0,0.0,0.0,1.49,0,0,0.0,0,1.0
reserva,1,6,1,0.0,0.77,0.0,0.0,0.0,0.0,0.77,0,0,0.0,0,0.17
conchal,1,6,1,0.0,0.77,0.0,0.0,0.0,0.0,0.77,0,0,0.0,0,0.17
inn,5,8,5,0.0,5.550000000000001,0.0,0.0,0.0,0.0,1.11,0,0,0.0,0,0.62
residence,8,10,8,0.0,6.699999999999999,0.0,0.0,0.0,0.0,0.84,0,0,0.0,0,0.8
residential,19,226,36,0.0,82.96,1.0,0.0,0.0,0.0,2.3,0,0.0,0.0,0,0.16
agreement,17,287,70,0.0,277.92999999999995,6.0,0.0,0.0,3.0,3.97,0,0.0,0.0,0,0.24
or,28,143,37,0.0,54.530000000000015,3.5,0.0,0.0,0.0,1.47,0,0.0,0.0,0,0.26
rentitfurnished,1,4,1,0.0,0.18,0.0,0.0,0.0,0.0,0.18,0,0,0.0,0,0.25
resident,3,169,27,0.0,100.37,2.0,0.0,0.0,0.0,3.72,0,0.0,0.0,0,0.16
employed,1,1,1,0.0,4.14,0.0,0.0,0.0,0.0,4.14,0,0,0.0,0,1.0
when,6,79,12,0.0,23.46,3.0,1.0,1.0,0.0,1.96,0,0.0,0.0,3.0,0.15
self,5,211,7,0.0,20.03,0.0,0.0,0.0,0.0,2.86,0,0,0.0,0,0.03
rentinlc,1,1,1,0.0,2.2,0.0,0.0,0.0,0.0,2.2,0,0,0.0,0,1.0
resource,4,43,12,0.0,55.38,1.0,0.0,0.0,0.0,4.62,0,0.0,0.0,0,0.28
respite,1,47,19,0.0,15.65,0.0,0.0,0.0,0.0,0.82,0,0,0.0,0,0.4
janeiro,2,2,2,0.0,1.9700000000000002,0.0,0.0,0.0,0.0,0.99,0,0,0.0,0,1.0
rio,3,3,3,0.0,2.4800000000000004,0.0,0.0,0.0,0.0,0.83,0,0,0.0,0,1.0
ritz,1,9,1,0.0,3.55,0.0,0.0,0.0,0.0,3.55,0,0,0.0,0,0.11
ritzrent,1,15,1,0.0,3.44,0.0,0.0,0.0,0.0,3.44,0,0,0.0,0,0.07
riyadh,16,38,24,0.0,45.42000000000001,0.0,0.0,0.0,0.0,1.89,0,0,0.0,0,0.63
rizort,1,1,1,0.0,0.54,0.0,0.0,0.0,0.0,0.54,0,0,0.0,0,1.0
assignment,10,444,52,0.0,217.8,1.5,0.0,0.0,0.0,4.19,0,0.0,0.0,0,0.12
rnb,2,4,2,0.0,4.91,1.0,0.0,0.0,0.0,2.46,0,0.0,0.0,0,0.5
rnbn,1,4,1,0.0,2.63,0.0,0.0,0.0,0.0,2.63,0,0,0.0,0,0.25
revelstoke,1,7,2,0.0,1.65,0.0,0.0,0.0,0.0,0.82,0,0,0.0,0,0.29
ct,31,265,92,0.0,147.93999999999997,3.0,2.72,1.0,5.66,1.61,0,0.0,0.0,1.1,0.35
mansion,1,1,1,0.0,1.13,0.0,0.0,0.0,0.0,1.13,0,0,0.0,0,1.0
la,55,264,85,0.0,200.30999999999997,1.0,2.0,8.0,14.0,2.36,0,0.0,0.0,0.5,0.32
croatia,7,23,11,0.0,8.999999999999998,0.0,0.0,0.0,0.0,0.82,0,0,0.0,0,0.48
germany,18,36,19,0.0,23.98,0.0,0.0,0.0,0.0,1.26,0,0,0.0,0,0.53
few,1,2,1,0.0,0.52,0.0,0.0,0.0,0.0,0.52,0,0,0.0,0,0.5
hour,3,5,3,0.0,2.06,0.0,0.0,0.0,0.0,0.69,0,0,0.0,0,0.6
tuscany,4,13,6,0.0,6.01,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.46
local,19,496,178,0.0,612.2399999999999,3.0,0.0,0.0,0.0,3.44,0,0.0,0.0,0,0.36
cristianos,1,1,1,0.0,0.85,0.0,0.0,0.0,0.0,0.85,0,0,0.0,0,1.0
los,4,17,6,0.0,6.16,0.0,0.0,0.0,0.0,1.03,0,0,0.0,0,0.35
seoul,9,23,12,0.0,20.12,0.0,0.0,0.0,0.0,1.68,0,0,0.0,0,0.52
israel,2,6,2,0.0,1.73,0.0,0.0,0.0,0.0,0.86,0,0,0.0,0,0.33
lithuania,1,1,1,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0,0,0.0,0,1.0
kaunas,1,1,1,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0,0,0.0,0,1.0
pune,9,19,11,0.0,10.809999999999999,1.0,0.0,0.0,0.0,0.98,0,0.0,0.0,0,0.58
based,6,138,59,0.0,56.53,7.0,0.0,0.0,0.0,0.96,0,0.0,0.0,0,0.43
before,2,3,2,0.0,2.63,0.0,0.0,0.0,0.0,1.31,0,0,0.0,0,0.67
height,1,1,1,0.0,1.34,0.0,0.0,0.0,0.0,1.34,0,0,0.0,0,1.0
boyle,1,1,1,0.0,1.34,0.0,0.0,0.0,0.0,1.34,0,0,0.0,0,1.0
broker,3,37,8,0.0,8.16,0.0,0.0,0.0,0.0,1.02,0,0,0.0,0,0.22
perth,9,12,10,0.0,12.39,1.0,0.0,0.0,0.0,1.24,0,0.0,0.0,0,0.83
average,30,320,49,0.0,122.34,0.0,0.0,0.0,0.0,2.5,0,0,0.0,0,0.15
unit,9,85,15,0.0,26.83,2.0,1.0,0.0,3.0,1.79,0,0.0,0.0,2.0,0.18
adu,8,207,16,0.0,30.53,0.0,0.0,0.0,0.0,1.91,0,0,0.0,0,0.08
budva,1,1,1,0.0,0.42,0.0,0.0,0.0,0.0,0.42,0,0,0.0,0,1.0
gran,2,3,2,0.0,1.26,0.0,0.0,0.0,0.0,0.63,0,0,0.0,0,0.67
canaria,2,3,2,0.0,1.26,0.0,0.0,0.0,0.0,0.63,0,0,0.0,0,0.67
fuengirola,1,1,1,0.0,1.04,0.0,0.0,0.0,0.0,1.04,0,0,0.0,0,1.0
iceland,3,3,4,0.0,2.37,0.0,0.0,0.0,0.0,0.59,0,0,0.0,0,1.33
bangkok,18,66,25,0.0,24.81,0.0,0.0,0.0,0.0,0.99,0,0,0.0,0,0.38
bochum,1,1,1,0.0,1.06,0.0,0.0,0.0,0.0,1.06,0,0,0.0,0,1.0
east,18,41,22,0.0,42.06,0.0,0.0,0.0,2.0,1.91,0,0,0.0,0,0.54
legon,3,3,4,0.0,3.85,0.0,0.0,0.0,0.0,0.96,0,0,0.0,0,1.33
kasoa,1,1,1,0.0,1.6,0.0,0.0,0.0,0.0,1.6,0,0,0.0,0,1.0
600,31,176,59,0.0,80.77,3.0,0.0,1.44,0.0,1.37,0,0.0,0.0,0,0.34
dollar,5,36,10,0.0,11.58,0.0,0.0,0.0,0.0,1.16,0,0,0.0,0,0.28
adelaide,2,2,2,0.0,3.19,0.0,0.0,0.0,0.0,1.59,0,0,0.0,0,1.0
lehigh,1,19,5,0.0,5.45,0.0,0.0,0.0,0.0,1.09,0,0,0.0,0,0.26
aventuras,1,20,2,0.0,1.6,0.0,0.0,0.0,0.0,0.8,0,0,0.0,0,0.1
morelos,4,38,14,0.0,11.969999999999999,0.0,0.0,0.0,0.0,0.85,0,0,0.0,0,0.37
barbados,11,38,14,0.0,10.71,0.0,0.0,0.0,0.0,0.77,0,0,0.0,0,0.37
estepona,1,3,2,0.0,1.87,0.0,0.0,0.0,0.0,0.94,0,0,0.0,0,0.67
cyprus,3,6,3,0.0,2.91,0.0,0.0,0.0,0.0,0.97,0,0,0.0,0,0.5
providing,1,3,2,0.0,25.44,0.0,0.0,0.0,0.0,12.72,0,0,0.0,0,0.67
rb,3,8,3,0.0,11.790000000000001,0.0,0.0,0.0,0.0,3.93,0,0,0.0,0,0.38
punta,1,2,1,0.0,0.82,0.0,0.0,0.0,0.0,0.82,0,0,0.0,0,0.5
mita,1,2,1,0.0,0.82,0.0,0.0,0.0,0.0,0.82,0,0,0.0,0,0.5
putting,3,19,6,0.0,104.94,1.0,0.0,0.0,0.0,17.49,0,0.0,0.0,0,0.32
ask,2,5,2,0.0,7.14,0.0,0.0,0.0,0.0,3.57,0,0,0.0,0,0.4
should,13,583,53,0.0,286.39,9.0,0.0,0.0,0.0,5.4,0,0.0,0.0,0,0.09
question,1,1,1,0.0,7.05,0.0,0.0,0.0,0.0,7.05,0,0,0.0,0,1.0
quiero,1,1,1,0.0,0.44,0.0,0.0,0.0,0.0,0.44,0,0,0.0,0,1.0
un,3,4,3,0.0,2.71,0.0,0.0,0.0,0.0,0.9,0,0,0.0,0,0.75
r,3,18,4,0.0,5.44,0.0,0.0,0.0,0.0,1.36,0,0,0.0,0,0.22
zone,5,25,14,0.0,13.520000000000001,0.0,0.0,0.0,0.0,0.97,0,0,0.0,0,0.56
romantic,3,17,7,0.0,5.7,0.0,0.0,0.0,0.0,0.81,0,0,0.0,0,0.41
seller,1,9,1,0.0,1.33,0.0,0.0,0.0,0.0,1.33,0,0,0.0,0,0.11
will,1,3,1,0.0,2.38,0.0,0.0,0.0,0.0,2.38,0,0,0.0,0,0.33
get,21,242,41,0.0,175.53,0.0,0.0,0.0,0.0,4.28,0,0,0.0,0,0.17
vivienda,1,1,1,0.0,4.25,0.0,0.0,0.0,0.0,4.25,0,0,0.0,0,1.0
alquiler,8,19,9,0.0,28.19,0.0,0.0,0.0,0.0,3.13,0,0,0.0,0,0.47
programa,1,1,1,0.0,4.25,0.0,0.0,0.0,0.0,4.25,0,0,0.0,0,1.0
buying,3,25,3,0.0,10.8,0.0,0.0,0.0,0.0,3.6,0,0,0.0,0,0.12
progreso,1,3,1,0.0,1.15,0.0,0.0,0.0,0.0,1.15,0,0,0.0,0,0.33
prolink,1,4,1,0.0,3.2,0.0,0.0,0.0,0.0,3.2,0,0,0.0,0,0.25
staffing,5,212,55,0.0,111.07000000000001,0.0,0.0,0.0,0.0,2.02,0,0,0.0,0,0.26
700,12,49,19,0.0,26.43,1.0,0.0,0.0,0.0,1.39,0,0.0,0.0,0,0.39
55,6,61,17,0.0,19.549999999999997,1.0,1.0,0.0,0.0,1.15,0,0.0,0.0,1.0,0.28
plus,2,17,3,0.0,5.59,0.0,1.0,0.0,0.0,1.86,0,0,0.0,0.0,0.18
redfin,6,336,24,0.0,70.93,0.0,3.0,0.0,9.84,2.96,0,0,0.0,0.0,0.07
regency,2,7,2,0.0,1.79,0.0,0.0,0.0,0.0,0.9,0,0,0.0,0,0.29
regina,8,21,13,0.0,19.11,0.0,0.0,0.0,0.0,1.47,0,0,0.0,0,0.62
work,13,257,48,0.0,185.92,3.0,0.0,0.0,0.0,3.87,0,0.0,0.0,0,0.19
rainbow,1,1,1,0.0,1.15,0.0,0.0,0.0,0.0,1.15,0,0,0.0,0,1.0
maarten,4,10,7,0.0,6.21,0.0,0.0,0.0,0.0,0.89,0,0,0.0,0,0.7
bangalore,28,97,47,0.0,92.32000000000001,0.0,0.0,0.0,0.0,1.96,0,0,0.0,0,0.48
backhouse,1,1,1,0.0,1.27,0.0,0.0,0.0,0.0,1.27,0,0,0.0,0,1.0
chateau,2,7,3,0.0,2.51,0.0,0.0,0.0,0.0,0.84,0,0,0.0,0,0.43
readystays,1,4,1,0.0,4.41,0.0,0.0,0.0,0.0,4.41,0,0,0.0,0,0.25
